legal_type,full_url,n,perc,avg_serp_rank
debt_collection,consumerfinance.gov,59,0.010082023239917977,8.169491525423728
debt_collection,ftc.gov,39,0.0066643882433356115,9.076923076923077
debt_collection,ed.gov,14,0.0023923444976076554,3
debt_collection,usa.gov,13,0.0022214627477785374,10.461538461538462
domestic_violence,womenshealth.gov,57,0.01800947867298578,5.473684210526316
domestic_violence,justice.gov,17,0.005371248025276461,9.705882352941176
domestic_violence,hhs.gov,14,0.0044233807266982625,6.428571428571429
domestic_violence,womenslaw.org,12,0.0037914691943127963,6.333333333333333
domestic_violence,medlineplus.gov,11,0.0034755134281200632,12.545454545454545
eviction,ca.gov,129,0.031578947368421054,4.395348837209302
eviction,hud.gov,60,0.014687882496940025,5.7
eviction,floridalawhelp.org,41,0.01003671970624235,3.2195121951219514
eviction,lawhelp.org,18,0.004406364749082008,4.944444444444445
flood_contractor,ca.gov,48,0.009318578916715201,2.5
flood_contractor,ftc.gov,27,0.0052417006406523005,7.333333333333333
flood_contractor,hawaii.gov,20,0.0038827412152980002,4.05
flood_contractor,myfloridalegal.com,15,0.0029120559114735,4
