urldomain,n,perc
nolo,915,0.07356488181379643
usnews,356,0.028621964946132818
creditcards,344,0.027657179610869914
angieslist,310,0.024923621160958354
nerdwallet,297,0.023878437047756874
findlaw,235,0.018893712815565202
incharge,208,0.01672294581122367
credit,187,0.015034571474513588
thehotline,185,0.014873773918636436
natlbankruptcy,184,0.01479337514069786
